,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage,Seed
379,15,4,basic,565,421,74.51327433628319,532.3919239904989,130.3729216152019,570.1578142906064,256.6026742561934,45.00555246716383,383864777.0
380,15,8,smart,577,433,75.04332755632582,425.4618937644342,127.17551963048498,570.695981311582,263.42116036809347,46.15787897484314,274970204.0
381,10,6,smart,521,386,74.08829174664108,707.2849740932643,127.11398963730569,381.97273477089385,219.80333125751983,57.54424629008068,534967818.0
382,10,6,smart,561,388,69.16221033868094,752.5025773195877,123.37886597938144,381.55495738517465,217.71563120356367,57.060097631959906,274970204.0
383,5,8,smart,580,281,48.44827586206897,939.9857651245552,119.79715302491103,191.23605841448105,137.18703501675367,71.73701244114609,260244418.0
384,10,8,basic,588,405,68.87755102040816,642.9802469135802,117.31358024691357,381.2687697794814,215.0183291784647,56.395473802595276,70952804.0
385,20,4,basic,565,460,81.41592920353983,423.8782608695652,133.90217391304347,758.7153081729423,293.16378202511174,38.639497432980185,447450854.0
386,20,4,smart,571,472,82.66199649737302,425.52542372881356,131.3177966101695,759.538111941286,302.4436174129172,39.81941296400631,362523190.0
387,15,8,basic,593,439,74.03035413153457,468.31890660592256,120.9886104783599,570.1451495624948,252.90390895001926,44.35781118967459,481660159.0
388,5,4,smart,608,296,48.68421052631579,1086.1047297297298,125.62162162162163,191.34235723564586,150.46418172686893,78.63610749896124,116942809.0
389,10,4,smart,569,373,65.5536028119508,587.4209115281501,122.63270777479893,381.5336590616374,217.34448654999625,56.96600585241782,884281372.0
390,15,4,smart,536,435,81.15671641791045,615.383908045977,131.91494252873562,570.6335965481497,258.34196423411476,45.272827572169774,34346284.0
391,20,6,smart,559,438,78.35420393559929,379.36986301369865,128.52511415525115,758.1095751894918,271.3020484985406,35.786653720964786,456738583.0
392,5,4,basic,570,280,49.122807017543856,1130.0607142857143,122.9,191.6200087639459,145.84885066575356,76.11358104331516,153044519.0
393,15,6,smart,532,405,76.12781954887218,523.6444444444444,128.8469135802469,570.1594646824782,242.47243664377694,42.527126473084124,549004394.0
394,20,6,basic,529,430,81.28544423440454,413.0604651162791,128.75116279069766,757.7217262170468,261.78130581913746,34.5484756159877,549004394.0
395,5,4,smart,558,287,51.4336917562724,1084.006968641115,123.25783972125436,191.33160409206127,144.85469983928004,75.70871551862474,112043825.0
396,20,4,basic,532,445,83.64661654135338,376.3820224719101,127.82247191011236,758.3615635042717,283.898981416669,37.43583470987317,481660159.0
397,20,4,smart,579,487,84.11053540587218,391.782340862423,128.2546201232033,759.5663578152198,313.9775937958872,41.3364271028271,530467456.0
398,15,6,basic,529,403,76.18147448015122,435.9454094292804,124.82630272952854,569.5769633481465,245.39651323417783,43.083995495825974,48265950.0
399,20,8,basic,552,455,82.42753623188406,370.4065934065934,126.37582417582418,742.8052153121389,278.82162601076476,37.536304304702455,676261138.0
400,5,6,smart,540,274,50.74074074074074,936.6751824817518,124.6094890510949,191.37009274409328,139.86264208207936,73.08490061145999,655359215.0
401,5,8,smart,561,296,52.76292335115864,920.8074324324324,117.37837837837837,191.52197272740176,147.63286272710846,77.08403407959786,653495709.0
402,15,4,smart,572,438,76.57342657342657,476.6849315068493,127.50913242009132,570.8609605679032,264.90279489486,46.404083164371535,367405145.0
403,10,8,smart,531,357,67.2316384180791,566.204481792717,120.18487394957984,381.0122636426972,200.92109660889395,52.733498572453364,805309175.0
404,15,4,basic,593,432,72.84991568296796,506.92824074074076,127.64814814814815,570.6095696820917,266.25592657991024,46.6616651256395,390126418.0
405,15,8,basic,578,423,73.1833910034602,471.0661938534279,116.89834515366431,569.0054721657532,228.82820036918756,40.21546567877807,187959148.0
406,5,4,basic,603,295,48.92205638474295,1039.7525423728814,121.03728813559322,191.37715853263234,148.74888939627718,77.7255188324439,358368805.0
407,15,4,smart,559,433,77.4597495527728,447.8013856812933,125.79907621247114,570.2303292978598,261.3311846348539,45.82905734892042,112043825.0
408,15,6,smart,505,411,81.38613861386138,495.25790754257906,129.11435523114355,570.3963201571803,249.60786001517707,43.76042607469738,158944640.0
409,5,6,smart,558,253,45.340501792114694,1054.0474308300395,128.90513833992094,154.22053434835817,125.49762450542993,81.3754309928352,442685285.0
410,10,8,basic,582,385,66.1512027491409,557.3818181818182,111.34025974025974,380.6801969042126,205.1336251290576,53.88607728935101,194642212.0
411,5,6,basic,564,289,51.24113475177305,1043.9515570934257,119.4083044982699,190.5408082682176,133.50656378635284,70.06717616019574,272813683.0
412,20,8,basic,572,446,77.97202797202797,435.3968609865471,123.76008968609865,758.4948308396795,269.78743283854567,35.568789907227426,530467456.0
413,20,6,smart,512,416,81.25,379.0264423076923,133.27403846153845,758.1672750136095,265.11851113011676,34.968340083704845,228056230.0
414,15,4,smart,564,445,78.90070921985816,469.99101123595506,125.05393258426966,571.0037478828456,276.4255381493649,48.41045950648995,119596844.0
415,20,4,smart,563,469,83.30373001776199,331.3880597014925,134.45628997867803,759.4859303382165,297.5695286199185,39.18038725054511,601135142.0
416,5,8,smart,541,285,52.68022181146026,1011.5368421052632,117.16140350877193,191.25076844924064,142.48286823042318,74.50054678773184,532925674.0
417,5,8,basic,580,305,52.58620689655172,1078.4065573770492,122.14426229508197,191.02049204528947,140.16312269658235,73.37596149807361,367405145.0
418,15,8,basic,568,415,73.06338028169014,472.2289156626506,120.19518072289156,569.5399676008562,246.86761677431733,43.345090918593186,655359215.0
419,5,8,smart,595,301,50.588235294117645,978.6777408637873,119.3421926910299,191.2762387139888,148.54641820355272,77.66067505419267,8501172.0
420,10,6,smart,546,376,68.86446886446886,614.9441489361702,122.94680851063829,381.2825037952408,208.55924656980451,54.699401229752354,433448262.0
421,5,8,smart,599,312,52.08681135225376,1012.0801282051282,122.25320512820512,191.3626148460201,150.79934332485345,78.80292785829359,852052273.0
422,10,4,smart,546,390,71.42857142857143,731.876923076923,127.32307692307693,381.2270949512717,218.8854262804872,57.416020314208005,272813683.0
423,5,8,smart,580,291,50.172413793103445,966.828178694158,125.82817869415807,191.22846041192224,146.0606982311878,76.38020926203178,481403749.0
424,20,6,basic,543,417,76.79558011049724,364.8393285371703,125.47242206235012,757.1494854825712,251.19833261969706,33.176847826766355,852052273.0
425,20,6,basic,582,454,78.00687285223368,346.83700440528634,125.74008810572687,757.9875511015988,272.1957800472405,35.9103232832324,470148314.0
426,5,6,basic,545,275,50.45871559633027,984.709090909091,128.41454545454545,191.04773110367816,134.08104990537302,70.18196402060889,383864777.0
427,15,6,smart,535,427,79.81308411214954,511.8009367681499,126.65807962529274,569.9381718930846,256.05854615406554,44.92742525097966,433498721.0
428,10,4,smart,598,425,71.07023411371237,708.76,129.3505882352941,382.2326627597804,242.7934348757812,63.51980312796246,274970204.0
429,5,4,smart,539,267,49.53617810760667,989.6928838951311,124.79775280898876,191.3649757505925,135.031312583116,70.56218728295579,34346284.0
430,5,8,basic,565,283,50.08849557522124,894.148409893993,114.41696113074205,191.12682830918925,140.82304814241016,73.680419116566,601135142.0
431,20,8,smart,588,479,81.4625850340136,336.62630480167013,125.62839248434238,758.6821280094774,288.1854018248381,37.98499940692396,485221178.0
432,20,4,smart,558,464,83.15412186379928,399.0086206896552,129.48060344827587,759.3108392154544,301.1243220954895,39.65758244760753,112043825.0
433,15,6,basic,577,433,75.04332755632582,471.4364896073903,121.32332563510393,569.6854249311067,247.04315404157074,43.3648366677884,390126418.0
434,20,8,basic,586,488,83.27645051194538,348.36270491803276,125.2438524590164,758.9707066999209,299.7224981423088,39.49065431596585,442685285.0
435,15,6,basic,555,414,74.5945945945946,446.2342995169082,121.54106280193237,569.6664862765452,244.14216357215093,42.85703467794169,481403749.0
436,20,4,smart,588,477,81.12244897959184,340.5639412997904,132.30607966457023,759.553343009156,301.7124045025813,39.72234567585127,260244418.0
437,20,4,smart,571,467,81.78633975481611,388.89935760171306,136.30406852248393,759.896102312953,305.7882558242658,40.24079803719417,572435721.0
438,5,4,basic,565,260,46.017699115044245,1014.6538461538462,120.97692307692307,191.4198085600572,140.94301208987244,73.63031712867487,433498721.0
439,10,4,basic,573,364,63.525305410122165,609.0302197802198,121.68956043956044,381.2258004791348,207.51815801958926,54.43444744788387,62156218.0
440,20,4,smart,565,461,81.59292035398231,392.5835140997831,134.06724511930585,759.2703967465454,303.11592802597005,39.922000031189704,153044519.0
441,5,4,basic,535,250,46.728971962616825,1148.708,120.38,191.36629988427217,132.5278729257558,69.25350649821907,676261138.0
