,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage
26,20,4,smart,586,485,82.76450511945393,379.76701030927836,128.52989690721648,759.4059828747651,303.1804359353092,39.9233667856561
27,20,4,basic,564,459,81.38297872340425,335.1938997821351,125.47712418300654,759.2787834561561,293.6263069074324,38.67173866901387
28,10,4,basic,543,375,69.06077348066299,651.2693333333333,126.57066666666667,381.8526846166875,224.45818109866508,58.78135473212173
29,20,4,basic,574,473,82.40418118466899,458.32346723044395,129.31712473572938,758.6776765832112,290.9471435912946,38.34924271155667
30,10,6,basic,545,333,61.100917431192656,671.1531531531532,111.54954954954955,379.85473830450604,175.7433254283987,46.265929500533474
31,10,8,basic,561,362,64.52762923351159,512.732044198895,113.72099447513813,381.28530774834167,201.10492678842152,52.74394861318813
32,20,8,basic,557,439,78.81508078994614,332.84738041002277,124.04100227790433,757.9816976822407,270.60339670314556,35.70051856536875
33,20,4,basic,557,452,81.14901256732495,407.07300884955754,126.85176991150442,758.8972456591146,285.8446375313043,37.66578929707981
34,5,6,basic,509,263,51.66994106090373,1004.2889733840304,119.15209125475285,191.2278040076987,135.64675985725037,70.9346428784955
35,15,4,smart,588,447,76.0204081632653,481.5257270693512,124.834451901566,570.693649621752,262.7657027466663,46.04321476519388
36,5,4,smart,571,277,48.51138353765324,936.2418772563177,119.92779783393502,191.5466753456831,142.2835924453568,74.2814210628185
37,5,8,smart,557,279,50.08976660682226,906.8243727598566,114.8673835125448,191.45392403929466,141.35372346056477,73.83171913026597
38,5,6,smart,509,258,50.687622789783894,1035.5697674418604,121.2751937984496,191.20540885677684,126.92244000675558,66.38015146413946
39,20,8,smart,560,440,78.57142857142857,346.38863636363635,132.16590909090908,758.5275591084526,277.65121791688784,36.60397233862269
40,5,8,basic,585,292,49.914529914529915,1188.7534246575342,118.70890410958904,191.41092609025378,143.00685722233396,74.71196140334413
41,15,4,smart,556,434,78.05755395683454,431.4377880184332,129.09677419354838,571.2230899389351,269.76115500706265,47.225183953243324
42,10,8,basic,586,382,65.18771331058021,675.8376963350786,119.43193717277487,381.17990444365995,214.77197368060678,56.343991689192265
43,5,6,smart,548,286,52.18978102189781,943.3216783216783,119.13636363636364,191.51812753135363,147.34822011707635,76.93695736083981
44,10,6,smart,543,398,73.29650092081032,680.6155778894472,130.91206030150755,381.6032487625743,228.61523029560317,59.90914150677026
45,20,6,smart,565,443,78.40707964601769,292.3544018058691,123.83521444695259,758.528753479764,273.35064665756585,36.03695250886205
46,10,6,basic,531,355,66.85499058380414,597.574647887324,118.4112676056338,380.98791453763914,203.4161024013057,53.39174672985841
47,5,6,smart,546,291,53.2967032967033,1098.4329896907216,116.34364261168385,191.42238508365588,139.69486234072616,72.97728647549573
48,5,4,basic,568,282,49.647887323943664,851.7056737588653,120.0354609929078,192.01060980683286,151.99091756717013,79.15756203267962
49,15,8,smart,588,455,77.38095238095238,463.1164835164835,123.94505494505495,570.7258327592297,258.6295677216527,45.31590351733035
50,5,4,basic,554,269,48.55595667870036,1024.985130111524,127.07434944237919,191.0680607618259,137.89666917287698,72.17149146909006
51,5,6,basic,546,259,47.43589743589743,930.992277992278,132.5057915057915,191.23753780911264,134.49153405805626,70.32695337894462
52,5,6,smart,531,276,51.9774011299435,940.5289855072464,121.97101449275362,191.4023769669172,140.1770409922747,73.23683394825525
53,20,4,basic,575,461,80.17391304347827,427.5943600867679,133.3058568329718,759.1062486690281,304.3632992987154,40.094953747564055
54,10,6,smart,512,367,71.6796875,639.8910081743869,119.07901907356948,380.9629086588897,205.1976109377396,53.86288435798128
55,15,4,basic,608,444,73.02631578947368,484.3288288288288,125.65765765765765,570.2795505865347,263.2967899479959,46.16977580156857
56,5,4,basic,561,260,46.3458110516934,949.7653846153846,129.63846153846154,191.27508362159347,138.52415797670702,72.42143375597966
57,10,4,smart,565,387,68.49557522123894,607.7984496124031,124.52454780361757,381.6731259877988,222.3054810339475,58.24499182608264
58,20,4,smart,572,460,80.41958041958041,363.2,128.5391304347826,760.08063790244,295.67926856131817,38.90103941830314
59,20,8,basic,546,446,81.68498168498168,429.2130044843049,127.05156950672645,758.0137893986027,272.4410251891875,35.94143391577854
60,10,6,basic,583,380,65.18010291595198,645.2973684210526,124.92368421052632,381.1261189700347,213.87110208801062,56.11557210142971
61,15,6,basic,556,400,71.94244604316546,483.9875,123.4225,569.4878521020319,237.09564953009726,41.63313557171685
62,20,4,basic,563,455,80.81705150976909,336.50989010989014,127.62417582417582,757.7717994126142,278.5459967867429,36.758559371390895
63,10,4,basic,551,361,65.51724137931035,652.3157894736842,122.77562326869806,381.3235081148489,205.75760445453847,53.9588040275155
64,10,8,smart,557,362,64.99102333931778,557.5994475138122,117.96132596685082,381.3074056735515,211.44575401100113,55.452831721822385
65,20,8,smart,589,490,83.1918505942275,385.73061224489794,128.71020408163264,759.2191776505211,303.1311461325979,39.926697725242825
66,10,4,basic,564,394,69.8581560283688,597.3121827411168,129.16497461928935,381.53886908906264,225.34808393212185,59.06294277963037
