,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage
18,10,8,smart,560,396,70.71428571428572,557.1515151515151,116.34343434343434,381.36174502287383,212.12186854543407,55.62221992998042
19,20,6,smart,549,446,81.23861566484517,317.63004484304935,129.31838565022423,759.12252812017,291.1852077550397,38.3581302054238
20,15,6,smart,542,422,77.85977859778598,455.2962085308057,128.6990521327014,569.8572307274134,252.2569746636768,44.26669717635678
21,15,4,basic,556,411,73.92086330935251,405.05109489051097,122.91240875912409,569.8616845081473,246.73334388183153,43.29705796851201
22,20,4,smart,563,477,84.7246891651865,330.6792452830189,133.51572327044025,760.0472328599942,305.0512444951629,40.13582726264006
23,10,6,basic,546,370,67.76556776556777,680.2810810810811,123.07297297297298,381.3267738028523,210.41313139510737,55.17921789144864
24,10,8,smart,564,396,70.2127659574468,509.050505050505,122.37878787878788,381.70496720218216,222.29350632882856,58.23699596004569
25,20,4,basic,556,446,80.2158273381295,429.11210762331837,128.3340807174888,758.1663085210943,276.0112761603888,36.405109678216384
26,15,8,smart,563,439,77.97513321492006,430.6719817767654,122.1116173120729,570.2143768617142,259.96172290598696,45.59017335492958
27,10,6,smart,546,384,70.32967032967034,676.4296875,126.91666666666667,381.43806061261324,216.43614726573577,56.74214757649666
28,10,4,smart,559,371,66.3685152057245,572.4690026954178,125.52291105121294,381.2525351717034,213.7076143491748,56.05408348378012
29,20,6,smart,542,425,78.41328413284133,349.20235294117646,128.69411764705882,757.567850635653,259.171385355134,34.21097993238109
30,10,4,basic,558,348,62.365591397849464,575.7873563218391,126.70689655172414,380.84278568404824,203.2708345115349,53.37394908149076
31,10,6,basic,547,348,63.61974405850091,564.7011494252873,122.94252873563218,380.6342168307597,202.03523271926667,53.07857879973439
32,5,4,basic,563,274,48.66785079928952,921.8175182481751,128.1934306569343,191.2501098582477,135.0413242250059,70.60980217219061
33,5,8,smart,564,278,49.29078014184397,949.4640287769785,117.58992805755396,191.33124740165468,139.80081117328143,73.06742263578239
34,10,8,smart,559,394,70.48300536672629,559.1776649746192,120.13197969543147,381.60676764327616,218.17305859953285,57.17221944121279
35,20,6,smart,542,443,81.73431734317343,299.9729119638826,122.93679458239278,758.6160040724395,273.41283914703786,36.0410059475795
36,10,8,smart,562,377,67.08185053380782,576.4854111405836,114.34482758620689,381.8564079055815,209.91447762200025,54.97209769854224
37,15,4,basic,556,431,77.51798561151078,457.2853828306265,124.07424593967518,570.234979265212,254.92472733036755,44.70520690590676
38,15,8,smart,557,437,78.45601436265709,457.4096109839817,122.36613272311213,569.8727307877152,254.99631660952915,44.74618679455966
39,5,4,basic,556,256,46.043165467625904,989.0546875,117.78515625,191.13997348970904,129.59394912188716,67.8005478162654
40,20,6,basic,542,440,81.18081180811808,335.7204545454546,126.375,757.8189500628604,266.9044349433093,35.22007927106729
41,15,8,basic,564,425,75.35460992907801,442.7505882352941,118.96705882352941,569.6368458202102,250.84054457876593,44.03516844448237
42,15,8,basic,558,407,72.93906810035843,422.2628992628993,117.47665847665847,569.2139183166732,234.21878840059165,41.14776200364933
43,20,8,smart,564,467,82.80141843971631,319.79014989293364,126.51391862955032,758.8314096635328,294.0351087243999,38.748410382060435
44,15,6,basic,542,372,68.63468634686348,450.86290322580646,117.71774193548387,568.7653378816188,209.47441600148042,36.82967333798386
45,5,8,basic,558,290,51.971326164874554,1063.048275862069,124.62758620689655,191.15855318461044,140.22559515758493,73.35564787528118
46,10,8,basic,559,366,65.47406082289802,621.7704918032787,113.06284153005464,380.46381716025246,196.9088024324672,51.75493530559008
47,15,4,basic,559,426,76.20751341681574,456.57511737089203,124.23474178403755,570.3863718120845,257.6271390438987,45.16712736761788
48,20,8,basic,560,448,80.0,327.2611607142857,118.86160714285714,757.7330396688066,263.71737139084047,34.803467393490884
49,20,4,smart,556,479,86.15107913669064,371.07933194154487,130.5135699373695,760.1019231391602,307.07998003948995,40.39984253312689
50,20,4,smart,555,465,83.78378378378379,383.2924731182796,131.35698924731182,760.2641895847236,308.8792972511674,40.62788981549762
51,15,6,smart,547,433,79.15904936014626,503.48036951501155,124.38799076212472,570.5308387480289,263.49232472075767,46.18371292583664
52,15,4,basic,556,412,74.10071942446042,446.2621359223301,124.70873786407768,569.7358800412657,249.63893919674433,43.816608351691514
53,10,6,basic,542,340,62.73062730627307,593.8735294117647,115.30294117647058,380.3455954962046,184.12721679946168,48.410503231737586
54,20,6,basic,547,430,78.61060329067642,366.01162790697674,122.34186046511628,757.6921625693954,259.06589889232237,34.19144498127168
55,5,4,basic,558,266,47.67025089605735,960.4962406015038,130.4624060150376,191.24022529355557,139.69190721011253,73.0452534218071
56,15,8,basic,558,433,77.59856630824373,411.55889145496536,123.58891454965358,569.9128577456363,247.21879206812338,43.378349638579685
57,5,8,basic,560,282,50.357142857142854,982.2340425531914,122.53900709219859,191.50351199960497,138.9000042855982,72.53130913123134
58,20,6,basic,542,436,80.44280442804428,404.8463302752294,125.7591743119266,757.5546336838278,258.80465671186107,34.1631672759163
59,15,8,smart,562,445,79.1814946619217,430.2337078651685,118.43595505617978,570.4762025572891,261.9391738307925,45.91588091783508
60,10,6,smart,542,370,68.26568265682657,670.1432432432432,118.83243243243243,381.1386156858277,202.57843025545458,53.150854287207636
61,10,8,basic,564,388,68.79432624113475,568.1623711340206,119.92268041237114,381.3068546140079,217.73992277544744,57.103595212276694
62,10,8,basic,562,369,65.65836298932385,636.5257452574526,115.49051490514906,380.77788213492795,207.10488061226093,54.38994498605717
63,10,4,smart,555,373,67.2072072072072,553.7372654155496,126.25469168900804,381.8765129249798,221.2927370212177,57.94876865461768
64,5,4,smart,558,279,50.0,946.68458781362,119.20071684587813,191.56654213265566,140.42820059770912,73.30518107930646
65,5,6,basic,542,280,51.66051660516605,1039.4071428571428,123.08214285714286,191.47230956199178,141.25958453517057,73.77546385600779
66,15,8,basic,562,404,71.88612099644128,386.5792079207921,116.75,569.7112872654009,228.81635526782074,40.16356361239273
67,20,4,smart,557,467,83.84201077199282,359.7580299785867,133.32762312633832,759.7513350068481,311.13072059470716,40.95165171271503
68,5,6,smart,549,278,50.63752276867031,958.8273381294964,127.23021582733813,191.37289214828812,141.71137718607048,74.04986965252284
69,20,8,basic,562,473,84.16370106761566,333.83720930232556,120.11839323467231,758.8298595851571,287.66941158189684,37.90960621122133
70,10,8,basic,557,360,64.63195691202873,578.6083333333333,112.83611111111111,381.04256502333646,199.62645563535287,52.38954226101408
71,5,6,basic,543,264,48.61878453038674,1038.9015151515152,126.5,191.2308761929528,131.56043766260146,68.79665056277648
72,15,8,smart,562,432,76.86832740213522,488.8703703703704,121.01157407407408,570.557831291012,251.05401111378274,44.00150122306061
73,5,6,smart,542,282,52.02952029520295,997.8652482269504,122.90070921985816,191.12129116193313,139.24725111663764,72.85805274235841
74,15,6,smart,546,422,77.2893772893773,455.62085308056874,128.35781990521326,570.2663223764564,256.79469435707057,45.030660987823474
75,20,8,smart,557,457,82.04667863554758,304.7964989059081,123.98249452954047,758.0884413861659,277.8099010435612,36.64610695495968
76,20,8,basic,558,447,80.10752688172043,375.6263982102908,123.86577181208054,758.0739644280127,271.0960699341537,35.76116350845831
77,5,4,basic,555,260,46.846846846846844,913.5038461538461,125.46923076923076,191.1490275099684,131.1545158831779,68.61375001049285
78,10,8,smart,562,398,70.8185053380783,599.3894472361809,117.25879396984925,381.70716410150277,226.28772517693906,59.283069970561286
79,5,8,smart,558,281,50.358422939068106,1039.1281138790036,119.07829181494662,191.2943159484814,141.78364419105452,74.11806434919849
80,10,6,basic,542,366,67.52767527675276,663.6475409836065,114.6639344262295,380.5575738474742,196.0934659746415,51.52793675661673
81,10,6,smart,549,371,67.57741347905282,608.4528301886793,122.17520215633424,381.4325789856841,214.98121116664683,56.361523113293245
82,5,8,basic,558,272,48.74551971326165,988.8382352941177,115.21323529411765,191.18821716098284,137.8446366020868,72.09891835856178
83,5,6,smart,543,278,51.19705340699816,997.1978417266187,120.92805755395683,191.6335717819513,137.90146659275507,71.96101669996797
84,20,8,basic,564,467,82.80141843971631,382.6017130620985,126.02141327623126,758.4160056675265,284.8913183456882,37.56399076716988
85,5,8,smart,563,283,50.26642984014209,844.2120141342756,120.50883392226149,191.4523738703268,143.01637711955638,74.7007593734112
86,5,4,smart,557,286,51.34649910233393,1042.409090909091,123.52097902097903,191.83131153382573,150.13855753491916,78.26592871333476
87,20,8,smart,563,472,83.83658969804618,344.70762711864404,124.23728813559322,759.2577551842262,294.72841532742757,38.817965745495044
88,5,8,basic,562,275,48.93238434163701,924.0363636363636,113.8,191.05336661034866,137.68931382728942,72.06850958460488
89,5,6,basic,547,276,50.45703839122486,998.2173913043479,126.19927536231884,191.10281120940144,133.92533983851467,70.08025627198421
90,15,4,smart,558,417,74.73118279569893,436.90887290167865,126.56594724220624,570.6148086014738,253.16818333927907,44.36761533752897
91,20,4,smart,559,469,83.89982110912342,444.86567164179104,133.47761194029852,759.7169905682058,302.8243502756377,39.860152403482516
92,5,8,basic,558,298,53.40501792114696,1071.8959731543623,120.06040268456375,191.2039314176818,141.8879682221711,74.20766255701051
93,5,4,smart,556,288,51.798561151079134,995.9340277777778,128.11458333333334,191.54456464000052,147.71262187697536,77.11658232359382
94,20,4,basic,558,439,78.67383512544804,369.19134396355355,132.6742596810934,758.150368703079,276.9267162575526,36.526621589761135
95,15,8,smart,558,433,77.59856630824373,428.0,123.0323325635104,570.532820130326,258.3830774596386,45.28803047660195
96,20,8,smart,558,480,86.02150537634408,303.58958333333334,123.54791666666667,758.2649775312447,288.2182881029804,38.010233446540035
97,5,6,basic,542,264,48.708487084870846,975.5189393939394,120.52651515151516,191.2287861845607,130.24773867916883,68.11094776989421
98,5,8,basic,559,280,50.089445438282645,914.7857142857143,112.83571428571429,191.07893467539918,136.21226107897027,71.2858595901033
99,20,4,smart,558,462,82.79569892473118,339.8246753246753,135.06709956709958,759.806377672261,304.7693953325126,40.11145527182894
100,20,8,basic,559,455,81.3953488372093,338.4197802197802,121.5032967032967,758.2600532998089,278.09936554516895,36.675987919307026
101,5,6,basic,542,283,52.2140221402214,1086.1943462897527,120.5017667844523,191.28993556496863,137.87352604853388,72.07568220530207
102,20,4,basic,563,451,80.10657193605684,372.44345898004434,128.77161862527717,758.9859437307656,283.44767430247913,37.34557624469344
103,20,4,basic,559,453,81.03756708407872,380.79690949227376,126.04415011037527,758.6557382447639,280.8726009578471,37.02240513037939
104,10,4,smart,556,397,71.40287769784173,681.9093198992443,121.98992443324937,381.8102299110023,228.91086567780533,59.95409440212304
105,10,4,smart,558,379,67.92114695340501,639.311345646438,123.13984168865436,381.64536853417655,216.40991853494546,56.704452975843154
106,15,6,basic,546,415,76.007326007326,419.61686746987954,124.6578313253012,569.734982062812,247.7178282673444,43.47948363122172
107,10,6,basic,542,361,66.60516605166052,601.6454293628809,119.52631578947368,380.7299222514186,201.64434185134044,52.96256744385399
108,15,4,basic,557,428,76.84021543985638,440.1378504672897,127.9322429906542,570.2589115694373,262.44140801823534,46.02144792370848
109,10,4,basic,563,364,64.65364120781527,518.7472527472528,122.60164835164835,381.73662072997485,214.23494608555797,56.12114071631057
110,20,6,basic,543,414,76.24309392265194,330.41062801932367,124.26570048309179,757.1113650287703,252.38799099955756,33.33564950381729
111,20,8,smart,562,449,79.8932384341637,393.99109131403117,122.99554565701558,758.4034197952493,275.57172538237006,36.33577040788764
112,5,4,basic,556,267,48.02158273381295,1063.5168539325844,122.55430711610487,191.514523807473,141.92061895437234,74.10436354009539
113,5,4,smart,556,271,48.74100719424461,1025.4501845018451,125.20664206642067,191.17901153847714,138.36028637689358,72.37211096734165
114,15,6,basic,547,403,73.6745886654479,383.9454094292804,120.77171215880894,569.5239461109734,232.35439696002496,40.798003059690494
115,20,6,basic,549,417,75.95628415300546,315.1390887290168,124.72661870503597,758.3837236967687,264.94665229662195,34.93569864673914
116,20,6,smart,547,442,80.80438756855575,295.60633484162895,121.02714932126698,758.5324147170304,274.18005567101255,36.14612247959042
117,10,4,basic,559,380,67.97853309481216,701.1026315789474,126.16315789473684,381.04247079380974,218.53451351793748,57.35174692277051
118,10,6,smart,543,371,68.32412523020258,586.6253369272238,126.98652291105121,381.1734324638817,212.56705690356065,55.76649335960805
119,20,4,smart,558,451,80.82437275985663,397.64966740576494,134.41241685144124,759.1652019722377,284.6730122605973,37.49816397288026
120,5,4,smart,558,268,48.028673835125446,932.5485074626865,131.32089552238807,191.58782234885422,143.24043652311445,74.7648962063434
121,10,4,basic,558,370,66.30824372759857,531.9135135135135,119.42162162162163,380.9483300996231,204.65975189831772,53.72375614425097
122,10,6,smart,542,367,67.71217712177122,653.2779291553134,119.0108991825613,380.9303417359991,210.3011967080614,55.20725803821872
123,20,6,smart,547,461,84.27787934186472,347.3383947939262,127.06724511930585,759.3250628953556,292.9067018548289,38.57461266166518
124,20,8,smart,558,462,82.79569892473118,427.4458874458874,126.87012987012987,759.1149313762206,290.1750617721434,38.22544515704321
125,15,4,smart,555,432,77.83783783783784,490.88425925925924,132.02314814814815,571.8619425328408,280.2320603168599,49.00344636953468
126,20,6,smart,542,446,82.28782287822878,404.57174887892376,126.48878923766816,758.619936262176,270.93532410610834,35.71423728211569
127,5,4,basic,556,270,48.561151079136685,838.4592592592593,113.04074074074074,191.41115513832406,139.1907093629663,72.71818053779549
128,5,4,smart,563,287,50.97690941385436,992.1951219512196,123.81184668989548,191.56471126948608,145.58111977773495,75.99579213362364
129,5,6,basic,542,268,49.44649446494465,918.3656716417911,119.41417910447761,191.12177162838378,132.5930285268245,69.37620313850884
130,15,6,basic,542,395,72.87822878228782,458.20506329113925,122.926582278481,569.6413014383447,232.72334489165326,40.85436647659266
131,5,8,smart,562,279,49.644128113879006,998.3548387096774,112.2078853046595,191.6542988948431,140.81400726710513,73.47291872871946
132,5,4,smart,559,271,48.479427549194995,925.929889298893,123.54981549815498,191.24184426848143,139.68992303923724,73.04359753147368
133,15,8,smart,558,428,76.70250896057348,425.16121495327104,121.76168224299066,560.7626631956915,257.91830877193917,45.99420141528439
134,10,6,basic,547,371,67.82449725776965,632.1266846361186,125.98382749326146,381.55293057830653,208.25283863923534,54.58032738042235
135,10,6,smart,547,368,67.27605118829982,617.0896739130435,125.6195652173913,381.5427651763729,214.2695539321636,56.158725440152125
136,10,6,smart,547,390,71.29798903107861,637.5564102564102,122.45384615384616,381.4800332759406,215.69875461321774,56.54260663681806
137,10,6,smart,542,394,72.69372693726937,670.4238578680203,129.07868020304568,381.4172167407826,219.1304579598585,57.45164306748721
138,5,6,smart,547,281,51.37111517367459,955.067615658363,120.31316725978648,191.5125209515256,142.2951152811849,74.30068518454817
139,15,4,basic,558,403,72.22222222222221,462.85856079404465,126.84615384615384,569.5254945416096,240.11193797098375,42.15999815148594
140,5,8,basic,557,279,50.08976660682226,972.0931899641577,120.06810035842294,191.3850425156107,141.62262146579653,73.99879301134246
141,20,6,smart,543,446,82.13627992633518,389.3273542600897,127.51345291479821,758.4020963543193,276.0790447707677,36.40272700957644
142,20,6,basic,546,431,78.93772893772893,375.5614849187935,123.99303944315545,758.427759617622,267.99519314752837,35.3356255423251
143,15,6,basic,542,398,73.43173431734317,460.9070351758794,122.07286432160804,569.0977909149406,227.38365594447322,39.95511133137729
144,10,6,basic,542,347,64.02214022140221,619.5821325648415,123.78674351585015,380.88395670657485,192.97236192757404,50.66434501367985
145,20,8,smart,558,451,80.82437275985663,332.1951219512195,123.46119733924613,758.3758591940133,280.11445914549296,36.93609913205742
146,10,4,smart,556,381,68.5251798561151,624.0839895013123,122.20472440944881,381.6977436458853,221.39531693954947,58.00278377986585
147,5,4,basic,558,277,49.6415770609319,929.5776173285199,115.49097472924188,191.6561396577527,142.24561599957102,74.21918037876802
148,10,4,smart,563,388,68.9165186500888,535.229381443299,125.6417525773196,381.97207132866845,221.93188460886796,58.10159989888536
149,15,8,smart,558,443,79.39068100358423,449.1038374717833,122.00902934537245,570.2552230206761,258.45350902451696,45.32242732569344
150,5,8,smart,559,276,49.37388193202147,922.5942028985507,114.91304347826087,191.56041379466026,139.91247193387758,73.03830116166601
151,15,6,smart,543,411,75.69060773480662,505.6082725060827,122.93430656934306,569.9895637640678,247.8686497498521,43.48652422914375
152,20,4,basic,558,450,80.64516129032258,412.17555555555555,131.27777777777777,759.0137522549787,276.8045576072491,36.4689779051936
