,Number of Tricycles,Number of Sectors,Intersection Algorithm,Number of Passengers,Total Trips Completed,Completion Rate,Average Wait Time,Average Travel Time,Total Distance,Productive Distance,Efficiency Percentage
97,20,4,basic,562,467,83.09608540925268,351.4004282655246,128.28907922912205,758.9330687966249,297.03439942062056,39.138418344532354
98,5,8,basic,560,278,49.642857142857146,916.0143884892086,124.62589928057554,191.15138674295633,135.04067844063567,70.64593186667622
99,5,6,basic,546,261,47.8021978021978,981.992337164751,115.65517241379311,191.03692493849476,131.20020330265876,68.67792880611918
100,10,6,smart,544,385,70.77205882352942,638.5870129870129,131.15324675324675,382.0852148201315,229.29971738804772,60.01271666478686
101,15,4,smart,559,438,78.35420393559929,486.77853881278537,128.3584474885845,570.4767766524934,265.6637409428385,46.568721430121926
102,15,8,basic,553,431,77.9385171790235,389.62180974477957,116.0092807424594,570.0491353069351,245.3729743344237,43.0441797271223
103,15,6,smart,544,417,76.65441176470588,488.51079136690646,131.01199040767386,570.9337085428632,259.60778396117496,45.47074031129566
104,20,6,basic,546,422,77.2893772893773,344.2867298578199,128.21090047393366,757.6767905101559,265.41670833340874,35.030333733028755
105,10,6,basic,550,380,69.0909090909091,606.2236842105264,122.90263157894736,380.86657196658433,210.53992594979997,55.279182119525025
106,10,6,smart,548,369,67.33576642335767,644.189701897019,120.37127371273712,380.43630080218674,193.24599040642,50.79588619670157
107,5,4,basic,554,243,43.86281588447653,1021.2921810699588,120.06584362139918,191.18979967566153,129.3338835942899,67.64685344808909
108,10,6,basic,547,369,67.45886654478977,552.7262872628726,130.52574525745257,381.719391940844,220.64544511702985,57.80304846320824
109,10,6,basic,546,370,67.76556776556777,680.2810810810811,123.07297297297298,381.3267738028523,210.41313139510737,55.17921789144864
110,5,4,basic,561,286,50.98039215686274,1015.7377622377622,131.04195804195805,191.60470661083997,150.37969608985034,78.48434349542364
111,10,8,basic,561,374,66.66666666666666,475.66577540106954,109.97326203208556,380.50895830623136,196.21532203914035,51.56654469123626
112,10,8,smart,564,396,70.2127659574468,509.050505050505,122.37878787878788,381.70496720218216,222.29350632882856,58.23699596004569
113,5,4,basic,555,280,50.45045045045045,1036.0,117.12142857142857,191.282847662655,140.82466281607,73.62116600461079
114,5,8,smart,559,279,49.910554561717355,946.6236559139785,126.59498207885305,191.50081669076243,148.68824152042546,77.64365922288927
115,5,6,smart,540,275,50.92592592592593,964.9090909090909,120.89090909090909,191.29806158068374,141.63976915436993,74.04140323430855
116,20,4,basic,556,446,80.2158273381295,429.11210762331837,128.3340807174888,758.1663085210943,276.0112761603888,36.405109678216384
117,10,8,smart,559,397,71.01967799642217,605.88161209068,111.11586901763224,381.0072468299565,211.28203957717503,55.45354880650608
118,20,6,basic,544,432,79.41176470588235,376.7986111111111,123.23611111111111,757.8124399736527,261.9770258530378,34.57016697458095
119,5,8,basic,559,291,52.05724508050089,928.8865979381443,109.69759450171821,191.16322153022776,138.884372417742,72.6522451892143
120,15,8,smart,563,439,77.97513321492006,430.6719817767654,122.1116173120729,570.2143768617142,259.96172290598696,45.59017335492958
121,10,8,smart,557,394,70.73608617594255,616.7842639593908,119.71573604060913,381.25155961280916,213.96011595190373,56.120456574445754
122,5,6,smart,540,261,48.333333333333336,969.360153256705,119.10727969348659,191.38017940785898,130.55363685850114,68.2169058794079
123,15,8,smart,561,433,77.18360071301248,384.08083140877596,124.44572748267899,570.3540555404085,260.2713721359392,45.6332991073997
124,15,4,smart,559,440,78.71198568872988,445.29545454545456,129.61818181818182,570.9112397755457,275.755210441041,48.3008900909806
125,10,4,basic,558,363,65.05376344086021,619.8099173553719,134.25619834710744,381.6206195733862,220.71840075282884,57.83712656815294
126,10,6,smart,546,384,70.32967032967034,676.4296875,126.91666666666667,381.43806061261324,216.43614726573577,56.74214757649666
127,10,4,smart,559,371,66.3685152057245,572.4690026954178,125.52291105121294,381.2525351717034,213.7076143491748,56.05408348378012
128,20,6,basic,542,449,82.84132841328413,395.3452115812918,123.31180400890868,757.8058939171408,266.81237268628735,35.2085375460884
129,10,4,smart,555,388,69.90990990990991,697.4510309278351,120.44845360824742,381.08316765930425,212.63836053536065,55.79841320240716
130,10,6,basic,542,370,68.26568265682657,534.7837837837837,123.54324324324324,381.18755585364516,208.2225646080432,54.624701517798
131,20,6,smart,542,425,78.41328413284133,349.20235294117646,128.69411764705882,757.567850635653,259.171385355134,34.21097993238109
132,5,6,basic,545,287,52.66055045871559,1044.0975609756097,128.794425087108,191.32832340049015,142.11269613629682,74.27687318349895
133,5,4,smart,560,269,48.035714285714285,1081.2118959107806,127.46468401486989,191.32832647112804,140.96944204521546,73.67933679516511
134,15,4,smart,549,416,75.77413479052824,525.7235576923077,132.75721153846155,570.8362754814038,258.7951835014958,45.33614884289647
135,15,8,smart,561,449,80.03565062388593,458.4253897550111,126.14922048997772,570.5649751094938,269.44788928426556,47.22475108686042
136,15,8,smart,556,451,81.11510791366906,512.8957871396896,125.53436807095343,570.4058999172486,260.52850089128714,45.67422968960931
137,10,4,basic,558,348,62.365591397849464,575.7873563218391,126.70689655172414,380.84278568404824,203.2708345115349,53.37394908149076
138,20,4,smart,549,450,81.9672131147541,428.8822222222222,137.0888888888889,759.3400570305556,295.5421670005389,38.92092406612581
139,5,4,basic,549,258,46.994535519125684,974.546511627907,126.78294573643412,191.1573674449723,137.0872232369294,71.71432891614398
140,20,6,smart,544,442,81.25,315.62669683257917,125.20361990950227,758.1735091552887,277.16659540584493,36.55714583257429
141,15,6,basic,553,403,72.875226039783,392.2630272952854,122.52357320099256,569.6468308680102,241.91262530583154,42.46712387343797
142,15,6,smart,549,398,72.49544626593807,389.356783919598,124.51256281407035,569.7550587028327,242.26986589598903,42.52175776158397
143,20,8,smart,561,463,82.53119429590018,327.16846652267816,122.76673866090712,758.7276279768414,288.4507288523604,38.0176914898326
144,5,8,basic,558,278,49.82078853046595,938.7482014388489,114.18705035971223,191.5526272534879,141.19868343491754,73.71273652543782
145,20,8,smart,561,464,82.70944741532978,304.14870689655174,127.19612068965517,759.4618446450067,300.7691600286747,39.60293228019407
146,15,8,smart,560,444,79.28571428571428,466.3355855855856,118.36711711711712,570.5579272477718,250.37282290937617,43.88210398146807
147,10,6,basic,547,348,63.61974405850091,564.7011494252873,122.94252873563218,380.6342168307597,202.03523271926667,53.07857879973439
148,15,6,smart,547,439,80.25594149908592,443.5671981776765,123.87927107061503,570.3623139769027,266.75754872493553,46.76984123739601
149,5,4,basic,563,274,48.66785079928952,921.8175182481751,128.1934306569343,191.2501098582477,135.0413242250059,70.60980217219061
150,10,4,basic,556,373,67.08633093525181,653.6541554959786,130.48257372654155,381.6034627387616,222.0226246308687,58.181501561179786
151,20,4,basic,561,445,79.32263814616756,427.16629213483145,134.28314606741574,758.5820382678243,285.0633672004601,37.578449372645956
152,20,8,basic,561,461,82.174688057041,411.23861171366593,122.11496746203905,757.859980560835,275.73526755708014,36.38340519749166
153,5,4,smart,549,274,49.90892531876138,997.4744525547445,129.29562043795622,191.1734983438209,139.9285914371101,73.19455502428056
154,10,6,basic,538,359,66.72862453531599,619.3119777158774,117.83565459610028,380.9153536275694,199.731176927723,52.43453040829781
155,20,4,basic,557,470,84.38061041292639,378.74893617021274,128.17446808510638,758.8269227473139,293.85921234466196,38.72545946060427
156,5,8,smart,564,278,49.29078014184397,949.4640287769785,117.58992805755396,191.33124740165468,139.80081117328143,73.06742263578239
157,15,6,smart,540,419,77.5925925925926,417.7613365155131,127.52505966587113,570.3606063703724,253.07055774599567,44.37027293249991
158,15,6,basic,547,436,79.70749542961609,482.658256880734,121.72018348623853,569.8104576616366,255.5788740454601,44.85331404662062
159,10,8,smart,559,394,70.48300536672629,559.1776649746192,120.13197969543147,381.60676764327616,218.17305859953285,57.17221944121279
160,20,8,smart,562,471,83.80782918149467,330.4628450106157,126.0828025477707,759.0126870780954,291.94932763154856,38.464354101304984
161,5,6,basic,541,277,51.20147874306839,898.0,122.23104693140795,191.35894025800707,138.92668688141686,72.60005030029096
162,10,4,basic,549,350,63.752276867030965,676.8742857142857,123.83714285714285,381.09411355400204,207.29838778561157,54.395589019308446
163,20,6,smart,542,443,81.73431734317343,299.9729119638826,122.93679458239278,758.6160040724395,273.41283914703786,36.0410059475795
164,20,4,basic,555,451,81.26126126126127,348.24833702882484,125.21951219512195,758.0443833263979,280.0033228128737,36.937589535876846
165,15,6,basic,542,369,68.08118081180811,438.7154471544715,118.77777777777777,568.8370700738288,212.51826122340654,37.36012865614121
166,10,8,smart,557,391,70.19748653500898,544.0716112531969,115.26342710997443,381.5052189186454,217.05642949552757,56.89474710483948
167,5,4,smart,556,281,50.53956834532374,974.9217081850534,128.2099644128114,191.47178525641468,143.3312533908264,74.85763670030047
168,10,6,smart,542,365,67.34317343173431,617.9095890410958,124.44931506849315,381.50133634924174,208.17240343797653,54.566624963905
169,15,6,basic,539,395,73.28385899814471,498.59746835443036,127.07848101265823,569.6874059155714,238.38849822073658,41.84549206202149
170,5,8,smart,566,293,51.76678445229682,1085.6109215017066,123.92491467576792,191.02025912792263,142.15753770505404,74.42013656250663
171,15,8,basic,558,430,77.06093189964157,417.5558139534884,116.65581395348838,569.1763985781199,244.19469819116432,42.903166540495334
172,15,8,smart,559,430,76.92307692307693,369.75348837209305,125.9093023255814,570.4961093369449,261.3418856345084,45.80958245942311
173,10,8,smart,562,377,67.08185053380782,576.4854111405836,114.34482758620689,381.8564079055815,209.91447762200025,54.97209769854224
174,15,4,basic,556,431,77.51798561151078,457.2853828306265,124.07424593967518,570.234979265212,254.92472733036755,44.70520690590676
175,15,8,basic,559,416,74.4186046511628,341.84375,117.35096153846153,570.2263533354495,246.73334088345518,43.26936828510771
176,5,4,smart,554,269,48.55595667870036,1087.271375464684,122.91078066914498,191.69056071105408,145.2639809704182,75.78045597632882
177,15,8,smart,557,437,78.45601436265709,457.4096109839817,122.36613272311213,569.8727307877152,254.99631660952915,44.74618679455966
178,15,6,smart,541,421,77.81885397412199,438.34679334916865,126.37767220902613,570.4716990736292,256.4716079500305,44.95781444837782
179,20,8,smart,561,483,86.09625668449198,390.6894409937888,124.29813664596273,758.7562913824368,290.18688065083757,38.24507077524506
180,5,4,basic,556,256,46.043165467625904,989.0546875,117.78515625,191.13997348970904,129.59394912188716,67.8005478162654
181,20,8,basic,558,452,81.00358422939068,400.6858407079646,121.8783185840708,757.515759353935,264.711565656101,34.94469420436434
182,5,4,basic,561,283,50.44563279857398,1108.3250883392227,126.64310954063605,191.56253998910518,148.30580294658387,77.41900005868503
183,20,6,basic,542,440,81.18081180811808,335.7204545454546,126.375,757.8189500628604,266.9044349433093,35.22007927106729
184,20,4,smart,548,455,83.02919708029196,318.48131868131867,134.71428571428572,759.5821402294301,303.53115779713113,39.960281017856765
185,10,6,smart,544,377,69.30147058823529,540.9946949602122,118.38726790450929,381.1210051541371,207.62377334324592,54.47712682728585
186,5,4,smart,555,279,50.27027027027027,1016.8602150537635,131.29390681003585,191.52802701647295,145.92345721439347,76.18908808674925
187,15,6,smart,546,432,79.12087912087912,476.037037037037,128.86111111111111,570.4718672058156,262.5082940949823,46.01599293243926
